Promotion,Duration,Description,Status,Goal,Date Created,Cost USD,Impressions,Views,Subscribers, CPI , CPV , CPS 
Shiva Sthothra Shata-Nama Japa – Session F (9 chants),#meditate #siva #micromeditate.org #108names,Think you can’t meditate? This 99-second micro-meditation with Shiva will get you started,Active,Audience growth,1/23/26,13.81,35361,1875,2032, 0.039 , 0.737 , 0.680 
Shiva Sthothra Shata-Nama Japa – Session H (9 chants),#meditate #siva #micromeditate.org #108names,Think you can’t meditate? This 99-second micro-meditation with Shiva will get you started,Active,Audience growth,1/24/26,11.89,20381,1120,1709, 0.058 , 1.062 , 0.696 
Shiva Sthothra Shata-Nama Japa – Session L (9 chants),#meditate #siva #micromeditate.org #108names,Think you can’t meditate? This 99-second micro-meditation with Shiva will get you started,Active,Audience growth,1/24/26,12.01,27189,1702,1668, 0.044 , 0.706 , 0.720 
Shiva Sthothra Shata-Nama Japa – Session I (9 chants),#meditate #siva #micromeditate.org #108names,Think you can’t meditate? This 99-second micro-meditation with Shiva will get you started,Active,Audience growth,1/24/26,12.01,24928,1403,1583, 0.048 , 0.856 , 0.759 
Shiva Sthothra Shata-Nama Japa – Session D (9 chants),#meditate #siva #micromeditate.org #108names,Think you can’t meditate? This 99-second micro-meditation with Shiva will get you started,Active,Audience growth,1/23/26,13.81,34180,1163,1759, 0.040 , 1.187 , 0.785 
Shiva Sthothra Shata-Nama Japa – Session J (9 chants),#meditate #siva #micromeditate.org #108names,Think you can’t meditate? This 99-second micro-meditation with Shiva will get you started,Active,Audience growth,1/24/26,12.48,29613,1445,1510, 0.042 , 0.864 , 0.827 
Shiva Sthothra Shata-Nama Japa – Session K (9 chants),#meditate #siva #micromeditate.org #108names,Think you can’t meditate? This 99-second micro-meditation with Shiva will get you started,Active,Audience growth,1/24/26,11.16,17880,977,1327, 0.062 , 1.142 , 0.841 
Vishnu Astottra (Ashtottara) Japa – Session G (9 chants),#meditate #vishnu #micromeditate #108names,Stressed? No time to meditate? Try a 90-Second micro-meditation of Vishnu and de-stress,Active,Audience growth,1/23/26,17.21,43602,1951,1891, 0.040 , 0.882 , 0.910 
Shiva Sthothra Shata-Nama Japa – Session A (9 chants),#meditate #siva #micromeditate.org #108names,Think you can’t meditate? This 99-second micro-meditation with Shiva will get you started,Active,Audience growth,1/23/26,14.32,33721,1693,1445, 0.043 , 0.846 , 0.991 
Shiva Sthothra Shata-Nama Japa – Session E (9 chants),#meditate #siva #micromeditate.org #108names,Think you can’t meditate? This 99-second micro-meditation with Shiva will get you started,Active,Audience growth,1/23/26,14.47,37216,1983,1339, 0.039 , 0.730 , 1.081 
Vishnu Astottra (Ashtottara) Japa – Session L (9 chants),#meditate #vishnu #micromeditate #108names,Think you can’t meditate? This 99 second micro-meditation of Vishnu will get you started,Active,Audience growth,2/2/26,2.01,2389,125,183, 0.084 , 1.608 , 1.098 
Vishnu Astottra (Ashtottara) Japa – Session J (9 chants),#meditate #vishnu #micromeditate #108names,Think you can’t meditate? This 99 second micro-meditation of Vishnu will get you started,Active,Audience growth,2/2/26,1.97,1997,67,179, 0.099 , 2.940 , 1.101 
Shiva Sthothra Shata-Nama Japa – Session C (9 chants),#meditate #siva #micromeditate.org #108names,Think you can’t meditate? This 99-second micro-meditation with Shiva will get you started,Active,Audience growth,1/23/26,15.92,38613,2063,1411, 0.041 , 0.772 , 1.128 
Vishnu Astottra (Ashtottara) Japa – Session H (9 chants),#meditate #vishnu #micromeditate #108names,Think you can’t meditate? This 99 second micro-meditation of Vishnu will get you started,Active,Audience growth,2/2/26,1.94,2203,67,171, 0.088 , 2.896 , 1.135 
Vishnu Astottra (Ashtottara) Japa – Session D (9 chants),#meditate #vishnu #micromeditate #108names,Think you can’t meditate? This 99-second micro-meditation of Vishnu will get you started,Active,Audience growth,1/28/26,7.69,9078,383,624, 0.085 , 2.008 , 1.232 
Vishnu Astottra (Ashtottara) Japa – Session I (9 chants),#meditate #vishnu #micromeditate #108names,Think you can’t meditate? This 99 second micro-meditation of Vishnu will get you started,Active,Audience growth,2/2/26,1.85,1889,76,148, 0.098 , 2.434 , 1.250 
Shiva Sthothra Shata-Nama Japa – Session G (9 chants),#meditate #siva #micromeditate.org #108names,Think you can’t meditate? This 99-second micro-meditation with Shiva will get you started,Ended,Audience growth,1/16/26,19.93,59811,3605,1551, 0.033 , 0.553 , 1.285 
